year,population_estimate,enhancement_action,notes
2022,41982,NA,"Reference only (no project area surveyed this year); 41,982 olys"
2023,NA,12 acres of bulk shell,No population survey conducted this year
2024,58999.069268292675,8 acres of bulk shell,Project: 21323 olys + Reference: 37676 olys
2025,65551.70793650794,NA,Project: 41630 olys + Reference: 23921 olys
2026,198027.06201058198,NA,Project: 180485 olys + Reference: 17542 olys
