sample_id,name,height_mm
79,shell_height10_mm,44
49,shell_height1_mm,44
49,shell_height2_mm,42
49,shell_height3_mm,43
49,shell_height4_mm,42
49,shell_height5_mm,17
49,shell_height6_mm,54
49,shell_height7_mm,43
49,shell_height8_mm,56
49,shell_height9_mm,44
49,shell_height10_mm,42
76,shell_height1_mm,51
76,shell_height2_mm,46
76,shell_height3_mm,51
76,shell_height4_mm,42
76,shell_height5_mm,43
76,shell_height6_mm,36
76,shell_height7_mm,40
76,shell_height8_mm,43
76,shell_height9_mm,47
76,shell_height10_mm,41
6,shell_height1_mm,50
6,shell_height2_mm,50
6,shell_height3_mm,36
6,shell_height4_mm,41
6,shell_height5_mm,40
6,shell_height6_mm,47
6,shell_height7_mm,46
6,shell_height8_mm,45
6,shell_height9_mm,49
6,shell_height10_mm,49
48,shell_height1_mm,46
48,shell_height2_mm,47
48,shell_height3_mm,14
48,shell_height4_mm,43
48,shell_height5_mm,42
48,shell_height6_mm,47
48,shell_height7_mm,52
48,shell_height8_mm,39
48,shell_height9_mm,43
48,shell_height10_mm,52
71,shell_height1_mm,40
71,shell_height2_mm,42
71,shell_height3_mm,49
71,shell_height4_mm,43
71,shell_height5_mm,42
71,shell_height6_mm,47
71,shell_height7_mm,49
71,shell_height8_mm,45
71,shell_height9_mm,44
71,shell_height10_mm,36
11,shell_height1_mm,NA
11,shell_height2_mm,NA
11,shell_height3_mm,NA
11,shell_height4_mm,NA
11,shell_height5_mm,NA
11,shell_height6_mm,NA
11,shell_height7_mm,NA
11,shell_height8_mm,NA
11,shell_height9_mm,NA
11,shell_height10_mm,NA
31,shell_height1_mm,43
31,shell_height2_mm,45
31,shell_height3_mm,43
31,shell_height4_mm,51
31,shell_height5_mm,41
31,shell_height6_mm,51
31,shell_height7_mm,NA
31,shell_height8_mm,NA
31,shell_height9_mm,NA
31,shell_height10_mm,NA
14,shell_height1_mm,49
14,shell_height2_mm,NA
14,shell_height3_mm,NA
14,shell_height4_mm,NA
14,shell_height5_mm,NA
14,shell_height6_mm,NA
14,shell_height7_mm,NA
14,shell_height8_mm,NA
14,shell_height9_mm,NA
14,shell_height10_mm,NA
57,shell_height1_mm,47
57,shell_height2_mm,NA
57,shell_height3_mm,NA
57,shell_height4_mm,NA
57,shell_height5_mm,NA
57,shell_height6_mm,NA
57,shell_height7_mm,NA
57,shell_height8_mm,NA
57,shell_height9_mm,NA
57,shell_height10_mm,NA
41,shell_height1_mm,50
41,shell_height2_mm,42
41,shell_height3_mm,40
41,shell_height4_mm,47
41,shell_height5_mm,47
41,shell_height6_mm,39
41,shell_height7_mm,43
41,shell_height8_mm,NA
41,shell_height9_mm,NA
41,shell_height10_mm,NA
52,shell_height1_mm,59
52,shell_height2_mm,44
52,shell_height3_mm,42
52,shell_height4_mm,46
52,shell_height5_mm,40
52,shell_height6_mm,44
52,shell_height7_mm,48
52,shell_height8_mm,41
52,shell_height9_mm,46
52,shell_height10_mm,45
59,shell_height1_mm,48
59,shell_height2_mm,NA
59,shell_height3_mm,NA
59,shell_height4_mm,NA
59,shell_height5_mm,NA
59,shell_height6_mm,NA
59,shell_height7_mm,NA
59,shell_height8_mm,NA
59,shell_height9_mm,NA
59,shell_height10_mm,NA
69,shell_height1_mm,49
69,shell_height2_mm,47
69,shell_height3_mm,NA
69,shell_height4_mm,NA
69,shell_height5_mm,NA
69,shell_height6_mm,NA
69,shell_height7_mm,NA
69,shell_height8_mm,NA
69,shell_height9_mm,NA
69,shell_height10_mm,NA
32,shell_height1_mm,NA
32,shell_height2_mm,NA
32,shell_height3_mm,NA
32,shell_height4_mm,NA
32,shell_height5_mm,NA
32,shell_height6_mm,NA
32,shell_height7_mm,NA
32,shell_height8_mm,NA
32,shell_height9_mm,NA
32,shell_height10_mm,NA
72,shell_height1_mm,NA
72,shell_height2_mm,NA
72,shell_height3_mm,NA
72,shell_height4_mm,NA
72,shell_height5_mm,NA
72,shell_height6_mm,NA
72,shell_height7_mm,NA
72,shell_height8_mm,NA
72,shell_height9_mm,NA
72,shell_height10_mm,NA
87,shell_height1_mm,50
87,shell_height2_mm,NA
87,shell_height3_mm,NA
87,shell_height4_mm,NA
87,shell_height5_mm,NA
87,shell_height6_mm,NA
87,shell_height7_mm,NA
87,shell_height8_mm,NA
87,shell_height9_mm,NA
87,shell_height10_mm,NA
39,shell_height1_mm,17
39,shell_height2_mm,10
39,shell_height3_mm,16
39,shell_height4_mm,NA
39,shell_height5_mm,NA
39,shell_height6_mm,NA
39,shell_height7_mm,NA
39,shell_height8_mm,NA
39,shell_height9_mm,NA
39,shell_height10_mm,NA
42,shell_height1_mm,46
42,shell_height2_mm,50
42,shell_height3_mm,45
42,shell_height4_mm,52
42,shell_height5_mm,37
42,shell_height6_mm,50
42,shell_height7_mm,52
42,shell_height8_mm,41
42,shell_height9_mm,39
42,shell_height10_mm,41
77,shell_height1_mm,41
77,shell_height2_mm,42
77,shell_height3_mm,43
77,shell_height4_mm,42
77,shell_height5_mm,39
77,shell_height6_mm,26
77,shell_height7_mm,47
77,shell_height8_mm,NA
77,shell_height9_mm,NA
77,shell_height10_mm,NA
28,shell_height1_mm,NA
28,shell_height2_mm,NA
28,shell_height3_mm,NA
28,shell_height4_mm,NA
28,shell_height5_mm,NA
28,shell_height6_mm,NA
28,shell_height7_mm,NA
28,shell_height8_mm,NA
28,shell_height9_mm,NA
28,shell_height10_mm,NA
4,shell_height1_mm,49
4,shell_height2_mm,40
4,shell_height3_mm,42
4,shell_height4_mm,40
4,shell_height5_mm,39
4,shell_height6_mm,42
4,shell_height7_mm,52
4,shell_height8_mm,46
4,shell_height9_mm,35
4,shell_height10_mm,43
64,shell_height1_mm,52
64,shell_height2_mm,41
64,shell_height3_mm,47
64,shell_height4_mm,NA
64,shell_height5_mm,NA
64,shell_height6_mm,NA
64,shell_height7_mm,NA
64,shell_height8_mm,NA
64,shell_height9_mm,NA
64,shell_height10_mm,NA
73,shell_height1_mm,39
73,shell_height2_mm,45
73,shell_height3_mm,49
73,shell_height4_mm,44
73,shell_height5_mm,47
73,shell_height6_mm,42
73,shell_height7_mm,39
73,shell_height8_mm,46
73,shell_height9_mm,41
73,shell_height10_mm,38
63,shell_height1_mm,43
63,shell_height2_mm,40
63,shell_height3_mm,46
63,shell_height4_mm,48
63,shell_height5_mm,45
63,shell_height6_mm,40
63,shell_height7_mm,38
63,shell_height8_mm,40
63,shell_height9_mm,50
63,shell_height10_mm,45
100,shell_height1_mm,41
100,shell_height2_mm,40
100,shell_height3_mm,44
100,shell_height4_mm,42
100,shell_height5_mm,52
100,shell_height6_mm,48
100,shell_height7_mm,44
100,shell_height8_mm,49
100,shell_height9_mm,48
100,shell_height10_mm,34
67,shell_height1_mm,38
67,shell_height2_mm,37
67,shell_height3_mm,41
67,shell_height4_mm,39
67,shell_height5_mm,45
67,shell_height6_mm,42
67,shell_height7_mm,44
67,shell_height8_mm,40
67,shell_height9_mm,50
67,shell_height10_mm,48
51,shell_height1_mm,42
51,shell_height2_mm,45
51,shell_height3_mm,50
51,shell_height4_mm,46
51,shell_height5_mm,NA
51,shell_height6_mm,NA
51,shell_height7_mm,NA
51,shell_height8_mm,NA
51,shell_height9_mm,NA
51,shell_height10_mm,NA
25,shell_height1_mm,44
25,shell_height2_mm,55
25,shell_height3_mm,40
25,shell_height4_mm,44
25,shell_height5_mm,43
25,shell_height6_mm,47
25,shell_height7_mm,36
25,shell_height8_mm,35
25,shell_height9_mm,40
25,shell_height10_mm,42
17,shell_height1_mm,36
17,shell_height2_mm,44
17,shell_height3_mm,35
17,shell_height4_mm,47
17,shell_height5_mm,45
17,shell_height6_mm,46
17,shell_height7_mm,45
17,shell_height8_mm,46
17,shell_height9_mm,47
17,shell_height10_mm,47
82,shell_height1_mm,37
82,shell_height2_mm,NA
82,shell_height3_mm,NA
82,shell_height4_mm,NA
82,shell_height5_mm,NA
82,shell_height6_mm,NA
82,shell_height7_mm,NA
82,shell_height8_mm,NA
82,shell_height9_mm,NA
82,shell_height10_mm,NA
83,shell_height1_mm,NA
83,shell_height2_mm,NA
83,shell_height3_mm,NA
83,shell_height4_mm,NA
83,shell_height5_mm,NA
83,shell_height6_mm,NA
83,shell_height7_mm,NA
83,shell_height8_mm,NA
83,shell_height9_mm,NA
83,shell_height10_mm,NA
80,shell_height1_mm,NA
80,shell_height2_mm,NA
80,shell_height3_mm,NA
80,shell_height4_mm,NA
80,shell_height5_mm,NA
80,shell_height6_mm,NA
80,shell_height7_mm,NA
80,shell_height8_mm,NA
80,shell_height9_mm,NA
80,shell_height10_mm,NA
85,shell_height1_mm,49
85,shell_height2_mm,NA
85,shell_height3_mm,NA
85,shell_height4_mm,NA
85,shell_height5_mm,NA
85,shell_height6_mm,NA
85,shell_height7_mm,NA
85,shell_height8_mm,NA
85,shell_height9_mm,NA
85,shell_height10_mm,NA
60,shell_height1_mm,47
60,shell_height2_mm,44
60,shell_height3_mm,37
60,shell_height4_mm,45
60,shell_height5_mm,38
60,shell_height6_mm,34
60,shell_height7_mm,NA
60,shell_height8_mm,NA
60,shell_height9_mm,NA
60,shell_height10_mm,NA
33,shell_height1_mm,44
33,shell_height2_mm,40
33,shell_height3_mm,NA
33,shell_height4_mm,NA
33,shell_height5_mm,NA
33,shell_height6_mm,NA
33,shell_height7_mm,NA
33,shell_height8_mm,NA
33,shell_height9_mm,NA
33,shell_height10_mm,NA
74,shell_height1_mm,52
74,shell_height2_mm,43
74,shell_height3_mm,40
74,shell_height4_mm,42
74,shell_height5_mm,48
74,shell_height6_mm,43
74,shell_height7_mm,42
74,shell_height8_mm,47
74,shell_height9_mm,48
74,shell_height10_mm,50
9,shell_height1_mm,49
9,shell_height2_mm,42
9,shell_height3_mm,51
9,shell_height4_mm,39
9,shell_height5_mm,54
9,shell_height6_mm,51
9,shell_height7_mm,45
9,shell_height8_mm,44
9,shell_height9_mm,60
9,shell_height10_mm,42
78,shell_height1_mm,42
78,shell_height2_mm,38
78,shell_height3_mm,NA
78,shell_height4_mm,NA
78,shell_height5_mm,NA
78,shell_height6_mm,NA
78,shell_height7_mm,NA
78,shell_height8_mm,NA
78,shell_height9_mm,NA
78,shell_height10_mm,NA
44,shell_height1_mm,57
44,shell_height2_mm,NA
44,shell_height3_mm,NA
44,shell_height4_mm,NA
44,shell_height5_mm,NA
44,shell_height6_mm,NA
44,shell_height7_mm,NA
44,shell_height8_mm,NA
44,shell_height9_mm,NA
44,shell_height10_mm,NA
15,shell_height1_mm,40
15,shell_height2_mm,49
15,shell_height3_mm,45
15,shell_height4_mm,46
15,shell_height5_mm,44
15,shell_height6_mm,44
15,shell_height7_mm,48
15,shell_height8_mm,46
15,shell_height9_mm,42
15,shell_height10_mm,38
47,shell_height1_mm,43
47,shell_height2_mm,43
47,shell_height3_mm,41
47,shell_height4_mm,36
47,shell_height5_mm,44
47,shell_height6_mm,44
47,shell_height7_mm,41
47,shell_height8_mm,38
47,shell_height9_mm,43
47,shell_height10_mm,48
93,shell_height1_mm,50
93,shell_height2_mm,42
93,shell_height3_mm,40
93,shell_height4_mm,42
93,shell_height5_mm,35
93,shell_height6_mm,42
93,shell_height7_mm,49
93,shell_height8_mm,34
93,shell_height9_mm,42
93,shell_height10_mm,36
36,shell_height1_mm,50
36,shell_height2_mm,42
36,shell_height3_mm,NA
36,shell_height4_mm,NA
36,shell_height5_mm,NA
36,shell_height6_mm,NA
36,shell_height7_mm,NA
36,shell_height8_mm,NA
36,shell_height9_mm,NA
36,shell_height10_mm,NA
20,shell_height1_mm,NA
20,shell_height2_mm,NA
20,shell_height3_mm,NA
20,shell_height4_mm,NA
20,shell_height5_mm,NA
20,shell_height6_mm,NA
20,shell_height7_mm,NA
20,shell_height8_mm,NA
20,shell_height9_mm,NA
20,shell_height10_mm,NA
21,shell_height1_mm,40
21,shell_height2_mm,41
21,shell_height3_mm,36
21,shell_height4_mm,NA
21,shell_height5_mm,NA
21,shell_height6_mm,NA
21,shell_height7_mm,NA
21,shell_height8_mm,NA
21,shell_height9_mm,NA
21,shell_height10_mm,NA
3,shell_height1_mm,42
3,shell_height2_mm,52
3,shell_height3_mm,56
3,shell_height4_mm,46
3,shell_height5_mm,41
3,shell_height6_mm,42
3,shell_height7_mm,41
3,shell_height8_mm,46
3,shell_height9_mm,41
3,shell_height10_mm,45
65,shell_height1_mm,47
65,shell_height2_mm,45
65,shell_height3_mm,37
65,shell_height4_mm,39
65,shell_height5_mm,NA
65,shell_height6_mm,NA
65,shell_height7_mm,NA
65,shell_height8_mm,NA
65,shell_height9_mm,NA
65,shell_height10_mm,NA
54,shell_height1_mm,46
54,shell_height2_mm,42
54,shell_height3_mm,NA
54,shell_height4_mm,NA
54,shell_height5_mm,NA
54,shell_height6_mm,NA
54,shell_height7_mm,NA
54,shell_height8_mm,NA
54,shell_height9_mm,NA
54,shell_height10_mm,NA
45,shell_height1_mm,45
45,shell_height2_mm,57
45,shell_height3_mm,46
45,shell_height4_mm,45
45,shell_height5_mm,13
45,shell_height6_mm,46
45,shell_height7_mm,47
45,shell_height8_mm,42
45,shell_height9_mm,38
45,shell_height10_mm,44
96,shell_height1_mm,50
96,shell_height2_mm,28
96,shell_height3_mm,32
96,shell_height4_mm,38
96,shell_height5_mm,38
96,shell_height6_mm,47
96,shell_height7_mm,44
96,shell_height8_mm,41
96,shell_height9_mm,35
96,shell_height10_mm,44
43,shell_height1_mm,49
43,shell_height2_mm,41
43,shell_height3_mm,44
43,shell_height4_mm,48
43,shell_height5_mm,41
43,shell_height6_mm,45
43,shell_height7_mm,40
43,shell_height8_mm,46
43,shell_height9_mm,43
43,shell_height10_mm,45
46,shell_height1_mm,NA
46,shell_height2_mm,NA
46,shell_height3_mm,NA
46,shell_height4_mm,NA
46,shell_height5_mm,NA
46,shell_height6_mm,NA
46,shell_height7_mm,NA
46,shell_height8_mm,NA
46,shell_height9_mm,NA
46,shell_height10_mm,NA
10,shell_height1_mm,39
10,shell_height2_mm,44
10,shell_height3_mm,31
10,shell_height4_mm,48
10,shell_height5_mm,56
10,shell_height6_mm,40
10,shell_height7_mm,51
10,shell_height8_mm,45
10,shell_height9_mm,47
10,shell_height10_mm,16
94,shell_height1_mm,44
94,shell_height2_mm,39
94,shell_height3_mm,39
94,shell_height4_mm,34
94,shell_height5_mm,43
94,shell_height6_mm,33
94,shell_height7_mm,42
94,shell_height8_mm,47
94,shell_height9_mm,23
94,shell_height10_mm,55
92,shell_height1_mm,45
92,shell_height2_mm,51
92,shell_height3_mm,40
92,shell_height4_mm,30
92,shell_height5_mm,38
92,shell_height6_mm,43
92,shell_height7_mm,39
92,shell_height8_mm,38
92,shell_height9_mm,46
92,shell_height10_mm,29
58,shell_height1_mm,37
58,shell_height2_mm,43
58,shell_height3_mm,39
58,shell_height4_mm,36
58,shell_height5_mm,37
58,shell_height6_mm,41
58,shell_height7_mm,13
58,shell_height8_mm,13
58,shell_height9_mm,41
58,shell_height10_mm,42
2,shell_height1_mm,22
2,shell_height2_mm,34
2,shell_height3_mm,18
2,shell_height4_mm,47
2,shell_height5_mm,47
2,shell_height6_mm,37
2,shell_height7_mm,44
2,shell_height8_mm,47
2,shell_height9_mm,37
2,shell_height10_mm,18
95,shell_height1_mm,50
95,shell_height2_mm,31
95,shell_height3_mm,44
95,shell_height4_mm,41
95,shell_height5_mm,47
95,shell_height6_mm,44
95,shell_height7_mm,43
95,shell_height8_mm,18
95,shell_height9_mm,48
95,shell_height10_mm,44
81,shell_height1_mm,61
81,shell_height2_mm,45
81,shell_height3_mm,40
81,shell_height4_mm,50
81,shell_height5_mm,40
81,shell_height6_mm,42
81,shell_height7_mm,50
81,shell_height8_mm,43
81,shell_height9_mm,48
81,shell_height10_mm,42
62,shell_height1_mm,34
62,shell_height2_mm,31
62,shell_height3_mm,NA
62,shell_height4_mm,NA
62,shell_height5_mm,NA
62,shell_height6_mm,NA
62,shell_height7_mm,NA
62,shell_height8_mm,NA
62,shell_height9_mm,NA
62,shell_height10_mm,NA
90,shell_height1_mm,41
90,shell_height2_mm,46
90,shell_height3_mm,18
90,shell_height4_mm,45
90,shell_height5_mm,46
90,shell_height6_mm,41
90,shell_height7_mm,46
90,shell_height8_mm,45
90,shell_height9_mm,20
90,shell_height10_mm,31
53,shell_height1_mm,44
53,shell_height2_mm,38
53,shell_height3_mm,44
53,shell_height4_mm,41
53,shell_height5_mm,49
53,shell_height6_mm,41
53,shell_height7_mm,41
53,shell_height8_mm,45
53,shell_height9_mm,48
53,shell_height10_mm,43
19,shell_height1_mm,43
19,shell_height2_mm,42
19,shell_height3_mm,44
19,shell_height4_mm,47
19,shell_height5_mm,49
19,shell_height6_mm,17
19,shell_height7_mm,42
19,shell_height8_mm,38
19,shell_height9_mm,37
19,shell_height10_mm,49
8,shell_height1_mm,43
8,shell_height2_mm,41
8,shell_height3_mm,41
8,shell_height4_mm,51
8,shell_height5_mm,38
8,shell_height6_mm,41
8,shell_height7_mm,39
8,shell_height8_mm,41
8,shell_height9_mm,51
8,shell_height10_mm,NA
84,shell_height1_mm,42
84,shell_height2_mm,40
84,shell_height3_mm,45
84,shell_height4_mm,24
84,shell_height5_mm,24
84,shell_height6_mm,39
84,shell_height7_mm,44
84,shell_height8_mm,38
84,shell_height9_mm,44
84,shell_height10_mm,42
35,shell_height1_mm,45
35,shell_height2_mm,44
35,shell_height3_mm,35
35,shell_height4_mm,49
35,shell_height5_mm,33
35,shell_height6_mm,41
35,shell_height7_mm,36
35,shell_height8_mm,44
35,shell_height9_mm,38
