standard_station_id,year,index
FBW,2018,NA
FBW,2019,0.13
FBW,2020,0.17
FBW,2021,0.87
FBW,2022,NA
FBW,2023,NA
FBW,2024,4.43
HH,2014,NA
HH,2015,28
HH,2016,NA
HH,2017,NA
HH,2018,NA
HH,2019,NA
HH,2020,NA
HH,2021,NA
HH,2022,NA
HH,2023,NA
HH,2024,NA
HIA,2014,NA
HIA,2015,NA
HIA,2016,NA
HIA,2017,NA
HIA,2018,NA
HIA,2019,0.03
HIA,2020,0
HIA,2021,NA
HIA,2022,NA
HIA,2023,NA
HIA,2024,NA
HIC,2014,NA
HIC,2015,1.67
HIC,2016,0.2
HIC,2017,NA
HIC,2018,0.07
HIC,2019,0
HIC,2020,0
HIC,2021,0.77
HIC,2022,0
HIC,2023,0.11
HIC,2024,0.03
KH,2014,NA
KH,2015,NA
KH,2016,NA
KH,2017,NA
KH,2018,NA
KH,2019,NA
KH,2020,NA
KH,2021,0.4
KH,2022,0
KH,2023,1.13
KH,2024,0
KIK,2014,NA
KIK,2015,NA
KIK,2016,NA
KIK,2017,NA
KIK,2018,NA
KIK,2019,0
KIK,2020,0
KIK,2021,0
KIK,2022,NA
KIK,2023,NA
KIK,2024,NA
LSI,2014,NA
LSI,2015,NA
LSI,2016,NA
LSI,2017,NA
LSI,2018,NA
LSI,2019,0
LSI,2020,NA
LSI,2021,NA
LSI,2022,NA
LSI,2023,NA
LSI,2024,NA
MB,2014,NA
MB,2015,3.23
MB,2016,0
MB,2017,NA
MB,2018,NA
MB,2019,0
MB,2020,1
MB,2021,0.23
MB,2022,0
MB,2023,1.61
MB,2024,0
MH,2014,NA
MH,2015,NA
MH,2016,NA
MH,2017,NA
MH,2018,NA
MH,2019,NA
MH,2020,0
MH,2021,NA
MH,2022,NA
MH,2023,NA
MH,2024,0
MIL1,2014,NA
MIL1,2015,NA
MIL1,2016,NA
MIL1,2017,NA
MIL1,2018,NA
MIL1,2019,NA
MIL1,2020,NA
MIL1,2021,0.06
MIL1,2022,NA
MIL1,2023,0
MIL1,2024,0
MIL2,2014,NA
MIL2,2015,NA
MIL2,2016,NA
MIL2,2017,NA
MIL2,2018,NA
MIL2,2019,NA
MIL2,2020,NA
MIL2,2021,0.13
MIL2,2022,0
MIL2,2023,0.03
MIL2,2024,0.3
MUD1,2014,NA
MUD1,2015,20.36
MUD1,2016,0.2
MUD1,2017,NA
MUD1,2018,0.57
MUD1,2019,2.33
MUD1,2020,0
MUD1,2021,0.17
MUD1,2022,0.14
MUD1,2023,0.13
MUD1,2024,0
MUD2,2014,4.73
MUD2,2015,NA
MUD2,2016,NA
MUD2,2017,NA
MUD2,2018,NA
MUD2,2019,NA
MUD2,2020,NA
MUD2,2021,NA
MUD2,2022,NA
MUD2,2023,NA
MUD2,2024,NA
MUD3,2014,7.41
MUD3,2015,NA
MUD3,2016,NA
MUD3,2017,NA
MUD3,2018,NA
MUD3,2019,NA
MUD3,2020,NA
MUD3,2021,NA
MUD3,2022,NA
MUD3,2023,NA
MUD3,2024,NA
MYS,2014,NA
MYS,2015,NA
MYS,2016,NA
MYS,2017,NA
MYS,2018,NA
MYS,2019,NA
MYS,2020,0
MYS,2021,NA
MYS,2022,0.04
MYS,2023,0
MYS,2024,NA
NB1,2014,NA
NB1,2015,13.07
NB1,2016,0.1
NB1,2017,NA
NB1,2018,NA
NB1,2019,NA
NB1,2020,NA
NB1,2021,NA
NB1,2022,NA
NB1,2023,NA
NB1,2024,NA
NB2,2014,NA
NB2,2015,NA
NB2,2016,0
NB2,2017,NA
NB2,2018,NA
NB2,2019,0
NB2,2020,0
NB2,2021,NA
NB2,2022,NA
NB2,2023,NA
NB2,2024,NA
NB3,2014,NA
NB3,2015,NA
NB3,2016,0
NB3,2017,0.5
NB3,2018,1.5
NB3,2019,0.03
NB3,2020,1.27
NB3,2021,0.17
NB3,2022,0
NB3,2023,0.03
NB3,2024,0.27
NGS,2014,NA
NGS,2015,NA
NGS,2016,NA
NGS,2017,NA
NGS,2018,NA
NGS,2019,NA
NGS,2020,NA
NGS,2021,NA
NGS,2022,NA
NGS,2023,NA
NGS,2024,0
NKIK,2014,NA
NKIK,2015,NA
NKIK,2016,NA
NKIK,2017,NA
NKIK,2018,NA
NKIK,2019,NA
NKIK,2020,NA
NKIK,2021,0
NKIK,2022,0
NKIK,2023,0
NKIK,2024,0
NMS,2014,NA
NMS,2015,NA
NMS,2016,3.3
NMS,2017,NA
NMS,2018,NA
NMS,2019,NA
NMS,2020,NA
NMS,2021,NA
NMS,2022,NA
NMS,2023,NA
NMS,2024,NA
NS,2014,NA
NS,2015,NA
NS,2016,6.2
NS,2017,NA
NS,2018,NA
NS,2019,NA
NS,2020,NA
NS,2021,NA
NS,2022,NA
NS,2023,NA
NS,2024,NA
OAK,2014,NA
OAK,2015,0.47
OAK,2016,0
OAK,2017,0.29
OAK,2018,0.05
OAK,2019,0.07
OAK,2020,0
OAK,2021,0.27
OAK,2022,0.03
OAK,2023,0
OAK,2024,0.1
OB,2014,NA
OB,2015,256.24
OB,2016,0.47
OB,2017,8.76
OB,2018,2
OB,2019,30
OB,2020,0.4
OB,2021,1
OB,2022,0.23
OB,2023,1.89
OB,2024,1.03
OB-LT,2014,NA
OB-LT,2015,NA
OB-LT,2016,NA
OB-LT,2017,NA
OB-LT,2018,NA
OB-LT,2019,NA
OB-LT,2020,NA
OB-LT,2021,NA
OB-LT,2022,0.75
OB-LT,2023,NA
OB-LT,2024,NA
OB-S,2014,NA
OB-S,2015,NA
OB-S,2016,NA
OB-S,2017,NA
OB-S,2018,NA
OB-S,2019,NA
OB-S,2020,NA
OB-S,2021,1.17
OB-S,2022,NA
OB-S,2023,NA
OB-S,2024,NA
ORO,2014,NA
ORO,2015,NA
ORO,2016,NA
ORO,2017,NA
ORO,2018,NA
ORO,2019,NA
ORO,2020,0
ORO,2021,0
ORO,2022,NA
ORO,2023,NA
ORO,2024,NA
PB,2014,NA
PB,2015,NA
PB,2016,NA
PB,2017,NA
PB,2018,NA
PB,2019,0
PB,2020,0
PB,2021,NA
PB,2022,NA
PB,2023,NA
